,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USERID,WORKSTATE,TMPID,IDCHECK,ORDERID,DEPT_CODE,STNL_REG,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',latitude,longitude
1650,1680006800,101,가정로사거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287426365046,124.87161789903314
1651,1680006000,101,가좌삼거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428739574826,124.87161789756011
1652,1680009600,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428752707731,124.87161794841985
1653,1680009300,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428752072667,124.87161794820194
1654,1680007800,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428747422216,124.87161794630921
1655,1680008700,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428751494713,124.87161799838678
1656,1680008600,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428750682193,124.87161799720073
1657,1680008400,101,건지사거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428750366588,124.87161803209928
1658,1680007600,101,없음,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.574287474172465,124.8716179962352
1659,1680006400,101,가재울사거리,1,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428741776922,124.8716179929641
1660,1680007900,101,없음,0,,icsi,5,999,,,00000,168,,32.57428747387411,124.87161790150566
1661,1680008000,103,없음,0,,icsi,5,999,,,00000,168,,32.57428748183344,124.87161800510543
1662,1680006500,101,없음,1,,icsi,5,999,,,00000,168,,32.574287424709205,124.87161799358162
1663,1680006600,101,없음,0,,icsi,5,999,,,00000,168,,32.57428742529133,124.87161794393751
1664,1680005800,108,가좌IC,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.5742873796489,124.87161794369423
1665,1680007700,102,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428746987143,124.8716177610607
1666,1680007200,101,없음,0,,icsi,5,999,,,00000,168,,32.57428744343203,124.8716177304664
1667,1680007400,102,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.5742874583404,124.87161772994808
1668,1680007100,101,없음,0,b'\xba\xb8\xbf\xcf',icsi,5,999,,,00000,168,,32.57428744307068,124.87161776001919
