,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,CLSS,latitude,longitude
8577,울산광역시,31,울주군,31710,6.0,16.72,2,35.537431778938625,129.01123876055505
8578,울산광역시,31,울주군,31710,10.55,26.7,2,35.527603999589836,129.10374490579667
8579,울산광역시,31,북구,31200,13.04,43.44,1,35.588860230612845,129.37054354855076
8580,울산광역시,31,울주군,31710,16.83,43.56,2,35.615571425305774,129.14359317883546
8581,울산광역시,31,북구,31200,13.41,37.61,3,35.64504754565412,129.34389694927518
8582,울산광역시,31,남구,31140,56.47,148.22,4,35.530018142858374,129.31219783053598
8583,울산광역시,31,울주군,31710,9.0,24.36,2,35.36226287260842,129.32047580172463
8584,울산광역시,31,북구,31200,47.4,63.96,4,35.57986057379062,129.3692864410863
8585,울산광역시,31,북구,31200,19.6,43.48,2,35.57091098865059,129.36361734818965
8586,울산광역시,31,울주군,31710,3.0,8.44,2,35.56630992409106,129.10979320780277
8587,울산광역시,31,남구,31140,42.29,93.65,5,35.53236894720769,129.344216404089
8588,울산광역시,31,울주군,31710,1.53,4.19,3,35.62383530167949,129.21988998788288
8589,울산광역시,31,북구,31200,5.14,10.68,3,35.56646724560524,129.358025740927
8590,울산광역시,31,울주군,31710,3.3,8.88,1,35.428518941683585,129.27860626280065
8591,울산광역시,31,울주군,31710,1.34,3.73,6,35.344476200750805,129.29818147823133
8592,울산광역시,31,울주군,31710,1.5,4.19,1,35.44509796617976,129.15438949972955
8593,울산광역시,31,울주군,31710,9.18,24.54,1,35.40706224844408,129.26175053789487
8594,울산광역시,31,울주군,31710,5.36,14.92,1,35.344488037405085,129.2970814587837
8595,울산광역시,31,북구,31200,8.15,27.4,2,35.53453367534126,129.39167254475822
8596,울산광역시,31,울주군,31710,14.31,39.78,2,35.590797087795394,129.0935780244002
8597,울산광역시,31,남구,31140,36.99,82.02,2,35.520848512821914,129.3263821336269
8598,울산광역시,31,울주군,31710,6.08,16.88,2,35.468415337922785,129.16684456867821
8599,울산광역시,31,북구,31200,6.76,21.96,2,35.650602353150305,129.33073754192998
8600,울산광역시,31,울주군,31710,1.5,4.16,1,35.50558792091579,129.23573327750915
8601,울산광역시,31,남구,31140,55.76,149.81,3,35.54267169756799,129.30909567773892
8602,울산광역시,31,동구,31170,280.68,936.45,5,35.508886598152046,129.42650670511995
8603,울산광역시,31,울주군,31710,1.5,4.29,1,35.44092473604881,129.29863027302656
8604,울산광역시,31,울주군,31710,5.25,14.88,3,35.35310485641461,129.333530226751
8605,울산광역시,31,동구,31170,169.0,556.79,5,35.52774653708769,129.43235460078154
8606,울산광역시,31,울주군,31710,21.0,57.26,1,35.56642131688683,129.09765886149435
8607,울산광역시,31,남구,31140,15.07,57.2,2,35.481812992769875,129.3510866979754
8608,울산광역시,31,울주군,31710,1.53,4.26,5,35.53552178535162,129.12480756583233
8609,울산광역시,31,울주군,31710,4.5,12.66,2,35.5043001471305,129.08909372826488
8610,울산광역시,31,남구,31140,185.0,586.72,8,35.534691768954794,129.29683490139084
8611,울산광역시,31,남구,31140,12.33,29.2,4,35.52453832130048,129.3187243720854
8612,울산광역시,31,울주군,31710,3.1,8.6,5,35.620675244811764,129.26400146219837
8613,울산광역시,31,울주군,31710,19.89,54.34,2,35.52841385473697,129.11368069587462
8614,울산광역시,31,울주군,31710,9.01,22.2,1,35.49527686378667,129.09007388855312
8615,울산광역시,31,울주군,31710,3.0,8.26,1,35.37179627437582,129.27220590926774
8616,울산광역시,31,북구,31200,1.9,5.33,6,35.61047691715451,129.37201683038714
8617,울산광역시,31,중구,31110,11.76,30.68,5,35.57586086688489,129.32398048255712
8618,울산광역시,31,울주군,31710,1.5,4.24,2,35.55395271571002,129.08094200019463
8619,울산광역시,31,울주군,31710,6.44,17.64,1,35.57239261888698,129.13415084767604
8620,울산광역시,31,중구,31110,7.25,15.63,3,35.57471472325119,129.34602848204736
8621,울산광역시,31,울주군,31710,2.09,5.32,1,35.42050057525967,129.269669280818
8622,울산광역시,31,울주군,31710,1.5,4.13,2,35.351710142873436,129.29609688589267
8623,울산광역시,31,울주군,31710,6.36,17.32,1,35.50111613352702,129.14086186784533
8624,울산광역시,31,울주군,31710,13.5,37.51,4,35.56708832217267,129.1230432104921
8625,울산광역시,31,울주군,31710,9.0,24.36,2,35.58595375480951,129.1299284542879
8626,울산광역시,31,남구,31140,1.85,5.36,2,35.50486952964684,129.3845451539748
8627,울산광역시,31,울주군,31710,1.53,4.03,2,35.66457056928286,129.20283732746606
8628,울산광역시,31,북구,31200,1.66,5.42,2,35.58906767652726,129.43013784337688
8629,울산광역시,31,울주군,31710,4.95,13.32,1,35.431211084599106,129.27975031009817
8630,울산광역시,31,울주군,31710,3.18,8.66,1,35.50475269773488,129.13760619209944
8631,울산광역시,31,북구,31200,9.27,15.93,2,35.56087196778032,129.3744783862513
8632,울산광역시,31,울주군,31710,3.0,8.38,1,35.436045537161625,129.33269673399803
8633,울산광역시,31,중구,31110,116.62,395.56,6,35.56496074156074,129.33152322495152
8634,울산광역시,31,울주군,31710,10.3,26.75,1,35.43413338489191,129.169652824451
8635,울산광역시,31,북구,31200,4.89,16.35,5,35.65770166973304,129.34079596154285
8636,울산광역시,31,남구,31140,102.85,315.17,4,35.512858238317335,129.31522539563684
8637,울산광역시,31,북구,31200,6.52,20.96,2,35.606269011237565,129.42382197409535
8638,울산광역시,31,울주군,31710,4.68,12.72,3,35.59461970937321,129.25586529979464
8639,울산광역시,31,울주군,31710,1.52,4.21,1,35.53211538192661,129.19754370859707
8640,울산광역시,31,울주군,31710,6.02,5.33,4,35.54462734814306,129.11500839021517
8641,울산광역시,31,북구,31200,4.66,10.7,2,35.60703490175624,129.3576087282299
8642,울산광역시,31,중구,31110,4.82,10.66,2,35.57556585734722,129.26770412760177
8643,울산광역시,31,울주군,31710,1.88,5.27,2,35.45193269032327,129.1930464381848
8644,울산광역시,31,울주군,31710,1.5,4.21,2,35.554998520033976,129.25193624219182
8645,울산광역시,31,남구,31140,380.0,1187.57,4,35.53413442836116,129.34755428487105
8646,울산광역시,31,울주군,31710,4.5,12.39,1,35.37178465633745,129.27330630991634
8647,울산광역시,31,북구,31200,6.18,10.62,2,35.5591072776636,129.37113881178
8648,울산광역시,31,중구,31110,1.47,5.15,2,35.58118303252112,129.33179232625616
8649,울산광역시,31,남구,31140,2.74,9.14,2,35.54105987222739,129.29142320230395
8650,울산광역시,31,남구,31140,2.74,10.4,2,35.49137640400008,129.38210872211243
8651,울산광역시,31,북구,31200,1.66,5.42,4,35.601906129666155,129.41160374659154
8652,울산광역시,31,북구,31200,1.63,5.45,5,35.65401028233648,129.34846515912122
8653,울산광역시,31,울주군,31710,1.52,4.23,3,35.636722454956676,129.28081780009035
8654,울산광역시,31,울주군,31710,3.0,8.38,2,35.439509134894,129.17303533552982
8655,울산광역시,31,울주군,31710,1.52,4.21,3,35.480035810099515,129.17693155971136
8656,울산광역시,31,울주군,31710,9.65,26.65,1,35.47304573353001,129.3289006190598
8657,울산광역시,31,울주군,31710,3.04,8.16,4,35.70441312738844,129.18464949561056
8658,울산광역시,31,남구,31140,8.67,15.99,2,35.526219495309284,129.32977876209557
8659,울산광역시,31,동구,31170,10.02,16.05,3,35.52053687859243,129.43222621507422
8660,울산광역시,31,울주군,31710,3.0,8.32,6,35.50735648479724,129.23906774772638
8661,울산광역시,31,북구,31200,3.38,10.98,2,35.64898217655232,129.3141450874326
8662,울산광역시,31,울주군,31710,1.52,4.21,3,35.48903807917565,129.17816534312269
8663,울산광역시,31,울주군,31710,1.5,4.2,2,35.5232976859089,129.08163232071345
8664,울산광역시,31,남구,31140,1.37,5.2,4,35.488293859206756,129.33576517269566
