,PR_per_PY,latitude,longitude,SB_score,CLSS,SB_worker_score
362,5036390.101892285,35.481889279434796,129.42272229720956,37.532389,2,8.841117050000001
451,4321248.7411883185,35.48203187438622,129.41060211366536,63.817069000000004,4,2.0785962000000002
844,3263532.2007111814,35.482764438809156,129.42494189915328,66.1793,5,6.216502449999999
697,3944300.518134715,35.48280351063543,129.42163637036103,118.404835,4,3.0693268500000004
1257,6123443.421765025,35.48292018309173,129.41171974591757,65.545363,4,1.4403984500000002
1415,5987005.9556036815,35.48293309641767,129.4106178952443,72.703291,4,0.7016384999999999
335,2747126.436781609,35.48363955609406,129.42716154814147,65.16439199999999,3,8.02897935
438,4243107.769423559,35.483717732500104,129.42055041892866,91.534197,4,6.6008637499999985
448,4937674.4186046515,35.48373072670424,129.41944856158736,59.910351999999996,4,6.176678699999999
13,2897585.816672954,35.484233029338235,129.29491978105176,108.510372,4,12.1595628
996,2306990.8814589665,35.484553826375176,129.4260756501217,63.726089,3,12.5792212
881,4562467.053241961,35.48460594570328,129.42166818147382,62.75264399999999,3,11.9634866
7,3943933.294997125,35.484644929605174,129.41836257257202,108.151809,4,0.9434502
1493,3852443.6090225563,35.48465790412585,129.41726070152842,37.826634,3,3.89378375
879,4904472.667034787,35.48467086858983,129.41615882978098,52.423348000000004,3,4.62588455
526,2700460.8294930877,35.48554614821765,129.41837844230744,115.23571,3,0.17552109999999999
314,2543689.3203883497,35.48555912316749,129.41727655897043,98.243739,3,2.27359595
813,2766200.7623888184,35.48557208806033,129.4161746749295,93.12503799999999,4,0.95601655
291,2363004.1724617523,35.48558504289615,129.41507279018518,34.071964,3,2.2294275
393,3315589.3536121673,35.485623847061156,129.4117671317372,82.00561699999999,4,7.50217575
509,2383341.695935775,35.48635625743228,129.42610756240708,46.082926,5,0.9808977999999999
934,2083606.5573770492,35.486382338934824,129.4239037803235,38.502831,3,6.8300981499999995
654,2739700.3745318353,35.4864343812531,129.4194962076738,51.564194,3,12.121182099999999
1136,2774436.090225564,35.48644736668947,129.41839431274738,65.706294,4,18.3689999
1254,2012345.6790123456,35.486885144218476,129.21340302325314,67.889837,2,7.713930782
1037,4323529.411764706,35.48725747274976,129.42612351961225,25.533997999999997,5,0.490463
421,2048720.0660611065,35.487296581211325,129.42281780854282,53.181034,3,0.140073
1352,2339522.546419098,35.48730959725008,129.42171590343878,44.98458599999999,3,8.572713199999999
29,2536867.7635588055,35.48732260323121,129.42061399762855,83.962587,4,5.238970349999999
814,2688901.0388190267,35.48733559915476,129.41951209111272,82.80236,3,8.1101662
272,2016556.2913907284,35.487797540942886,129.2123146010129,81.47305899999999,1,9.919455288000002
1360,4230905.861456483,35.488158687926514,129.4261394775258,42.022324,5,0.49816875
498,2924675.324675325,35.48862030688123,129.30601204281626,14.04617,4,8.46638865
223,2350877.192982456,35.489112030911244,129.42174772161292,40.94769900000001,3,1.4940556
917,2776244.9528936744,35.489125037752814,129.42064579121222,114.327207,4,6.075012399999999
1418,3286229.2718096613,35.489151021261094,129.4184419282943,59.006271,4,2.9812214
1056,4211267.605633803,35.48994806029337,129.42727333463802,35.686393,4,4.1351169
926,4891061.452513967,35.49002625480261,129.42066168906268,43.97319399999999,2,8.535866749999999
55,3020242.9149797573,35.490052239170325,129.41845780155248,44.953193,4,1.4853773999999997
1123,4551203.133743704,35.49086233261255,129.42618735551702,58.468852999999996,3,19.10097215
425,2458593.2458593245,35.49095345693892,129.4184736755153,313.20212499999997,2,2.2415197
