,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',len
3775,1680032300,1680009800,1680009700,0,0,104,000,0,b'\xb0\xa1\xc0\xe7\xbf\xef\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680009800,OEXT1680009700,OEXT1680032300,,icsi,168,00000,,0.0134292519523
3776,1680032200,1680009700,1680009800,0,0,104,000,0,b'\xb0\xa1\xc0\xe7\xbf\xef\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680009700,OEXT1680009800,OEXT1680032200,,icsi,168,00000,,0.0134260943264
3777,1680030100,1680009000,1680008900,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680009000,OEXT1680008900,OEXT1680030100,,icsi,168,00000,,0.0047570171297
3778,1680030000,1680008900,1680009000,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680008900,OEXT1680009000,OEXT1680030000,,icsi,168,00000,,0.00475633007112
3779,1680037500,1680011500,1680011600,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680011500,OEXT1680011600,OEXT1680037500,,icsi,168,00000,,0.00665236216765
3780,1680061700,1680021000,1680021300,0,0,106,000,305,b'\xc1\xf6\xb9\xe6\xb5\xb5305\xc8\xa3\xbc\xb1',0,000,0,0,0,0,,5,,,OEXT1680021000,OEXT1680021300,OEXT1680061700,,icsi,168,00000,,0.0183241499443
3781,1680061600,1680021300,1680021000,0,0,106,000,305,b'\xc1\xf6\xb9\xe6\xb5\xb5305\xc8\xa3\xbc\xb1',0,000,0,0,0,0,,5,,,OEXT1680021300,OEXT1680021000,OEXT1680061600,,icsi,168,00000,,0.0182702990969
3782,1680060300,1680020500,1680020400,0,0,106,000,346,b'\xc1\xf6\xb9\xe6\xb5\xb5346\xc8\xa3\xbc\xb1',0,000,0,0,0,0,b'\xb0\xcb\xb4\xdc\xb7\xce',5,,,OEXT1680020500,OEXT1680020400,OEXT1680060300,,icsi,168,00000,,0.0124431473699
3783,1680060200,1680020400,1680020500,0,0,106,000,346,b'\xc1\xf6\xb9\xe6\xb5\xb5346\xc8\xa3\xbc\xb1',0,000,0,0,0,0,b'\xb0\xcb\xb4\xdc\xb7\xce',5,,,OEXT1680020400,OEXT1680020500,OEXT1680060200,,icsi,168,00000,,0.0124749388513
3784,1680061500,1680020900,1680021000,0,0,106,000,305,b'\xc1\xf6\xb9\xe6\xb5\xb5305\xc8\xa3\xbc\xb1',0,000,0,0,0,0,b'\xbc\xad\xb0\xf9\xb1\xe6',5,,,OEXT1680020900,OEXT1680021000,OEXT1680061500,,icsi,168,00000,,0.00246734598528
3785,1680061400,1680021000,1680020900,0,0,106,000,305,b'\xc1\xf6\xb9\xe6\xb5\xb5305\xc8\xa3\xbc\xb1',0,000,0,0,0,0,b'\xbc\xad\xb0\xf9\xb1\xe6',5,,,OEXT1680021000,OEXT1680020900,OEXT1680061400,,icsi,168,00000,,0.002521321057
3786,1680060700,1680020500,1680020600,0,0,104,000,0,-,0,000,0,0,0,0,,5,,,OEXT1680020500,OEXT1680020600,OEXT1680060700,,icsi,168,00000,,0.00184081832171
3787,1680053600,1680017800,1680017600,0,0,104,000,0,b'\xc3\xbb\xb6\xf3\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680017800,OEXT1680017600,OEXT1680053600,,icsi,168,00000,,0.00270115055943
3788,1680052500,1680017500,1680017000,0,0,104,000,0,b'\xbc\xad\xb0\xf8\xb4\xdc2\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680017500,OEXT1680017000,OEXT1680052500,,icsi,168,00000,,0.0039514182829
3789,1680052400,1680017000,1680017500,0,0,104,000,0,b'\xbc\xad\xb0\xf8\xb4\xdc2\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680017000,OEXT1680017500,OEXT1680052400,,icsi,168,00000,,0.00396548026773
3790,1680051900,1680017100,1680016900,0,0,104,000,0,b'\xbc\xad\xb0\xf8\xb4\xdc1\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680017100,OEXT1680016900,OEXT1680051900,,icsi,168,00000,,0.00109261833386
3791,1680051800,1680016900,1680017100,0,0,104,000,0,b'\xbc\xad\xb0\xf8\xb4\xdc1\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680016900,OEXT1680017100,OEXT1680051800,,icsi,168,00000,,0.00108995395626
