,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O,longitude,latitude
215377,울산광역시,31,중구,31110,8.81,15.72,4.05,2.16,2.42,2.96,2.55,1.58,129.3281694754559,35.56229360424687
215389,울산광역시,31,중구,31110,8.81,15.5,3.48,1.98,3.34,2.9,1.96,1.84,129.31394873073427,35.56966104571939
215395,울산광역시,31,중구,31110,4.41,10.33,3.04,1.08,1.74,2.34,1.0,1.13,129.26306450127737,35.56119207707741
215398,울산광역시,31,중구,31110,2.94,10.16,2.1,1.34,1.8,1.9,1.42,1.6,129.31497800920727,35.56514276309676
215422,울산광역시,31,중구,31110,69.0,241.84,58.42,38.84,34.07,45.21,38.82,26.48,129.3513166269076,35.56113438927565
215425,울산광역시,31,중구,31110,187.0,598.03,240.77,43.58,123.87,152.73,22.3,14.78,129.31515516369137,35.57595770097248
215530,울산광역시,31,남구,31140,77.47,198.88,32.2,31.38,18.69,36.56,48.37,31.68,129.3101102438108,35.53725218675338
215531,울산광역시,31,남구,31140,49.75,109.95,23.25,17.91,15.02,19.74,20.52,13.51,129.31790259081333,35.541674136965305
215532,울산광역시,31,남구,31140,79.26,164.68,28.7,27.93,22.51,27.15,31.22,27.17,129.31128639948435,35.541746429479524
215716,울산광역시,31,남구,31140,102.92,305.76,57.78,42.91,43.96,64.2,50.08,46.83,129.324474202838,35.53889774386639
215717,울산광역시,31,남구,31140,6.85,23.85,3.65,4.85,2.7,2.9,5.65,4.1,129.30889020873866,35.530054167798056
215721,울산광역시,31,남구,31140,55.08,146.73,31.6,26.42,18.39,30.28,24.66,15.38,129.32110698247462,35.535329122880476
215722,울산광역시,31,남구,31140,2.74,10.4,0.82,0.9,0.84,1.52,2.32,4.0,129.34154526093664,35.50445503354271
215728,울산광역시,31,남구,31140,2.74,10.4,0.82,0.9,0.84,1.52,2.32,4.0,129.35413477070554,35.466454693059845
215741,울산광역시,31,남구,31140,2.74,9.5,1.8,1.16,1.02,1.54,1.66,2.32,129.3734773529734,35.50229209705764
215742,울산광역시,31,남구,31140,30.14,103.59,20.1,13.64,14.21,15.39,18.0,22.25,129.3350069400453,35.50903479206109
215746,울산광역시,31,남구,31140,1.37,5.2,0.41,0.45,0.42,0.76,1.16,2.0,129.3810067420551,35.49138904956714
215753,울산광역시,31,남구,31140,8.22,19.3,5.4,2.16,4.02,3.44,2.76,1.52,129.30847965364038,35.504819026050136
215761,울산광역시,31,남구,31140,21.92,55.35,10.98,10.26,10.15,9.31,7.84,6.81,129.3188426232022,35.531748319723675
215767,울산광역시,31,남구,31140,35.37,47.88,11.25,7.56,7.38,8.55,6.84,6.3,129.2705572895479,35.546690538200814
