,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O,latitude,longitude
409209,울산광역시,31,남구,31140,3.49346,0.00191,0.55686,1.14177,1.05259,0.6161,0.11468,0.00955,0.0,35.51220565532141,129.3736465556224
409210,울산광역시,31,남구,31140,19.75831,0.0108,3.14952,6.45756,5.95306,3.48463,0.64866,0.05408,0.0,35.52850314666523,129.3673086594273
409211,울산광역시,31,남구,31140,28.89747,0.00932,4.13918,8.88935,10.35111,4.42824,1.03367,0.0466,0.0,35.51428245346465,129.34942672233012
409212,울산광역시,31,남구,31140,2.47218,0.00135,0.39408,0.80798,0.74488,0.43601,0.08114,0.00674,0.0,35.50956472564636,129.36808923640788
409213,울산광역시,31,남구,31140,1.54862,0.00085,0.24685,0.50614,0.4666,0.27312,0.05083,0.00423,0.0,35.514344122667815,129.34391517539615
409235,울산광역시,31,남구,31140,8.9327,0.0,0.0,8.9327,0.0,0.0,0.0,0.0,0.0,35.543073829019555,129.27160302347457
409244,울산광역시,31,북구,31200,2.62964,0.0,0.0,0.0,0.0,2.62964,0.0,0.0,0.0,35.588910448614804,129.36613026579622
409246,울산광역시,31,중구,31110,4.16015,0.0,4.16015,0.0,0.0,0.0,0.0,0.0,0.0,35.58056012324121,129.30640315100982
409259,울산광역시,31,북구,31200,71.66559,0.0,40.95176,23.88853,3.41265,3.41265,0.0,0.0,0.0,35.65501188383251,129.41806188855298
409271,울산광역시,31,울주군,31710,12.02391,0.0,2.40478,0.0,2.40478,2.40478,4.80957,0.0,0.0,35.60573041081202,129.13572617402252
409665,울산광역시,31,울주군,31710,1.93467,0.0,0.0,0.0,0.0,1.93467,0.0,0.0,0.0,35.45586099238798,129.33412591075927
409666,울산광역시,31,울주군,31710,114.14575,0.0,13.54271,36.7588,42.56283,17.41206,3.86935,0.0,0.0,35.45771223231391,129.32974956606571
409667,울산광역시,31,울주군,31710,1.93467,0.0,1.93467,0.0,0.0,0.0,0.0,0.0,0.0,35.441244483290845,129.3515084333016
409783,울산광역시,31,울주군,31710,8.34117,0.0,1.47554,2.25674,1.5189,2.98871,0.10128,0.0,0.0,35.61824002697843,129.0486894315684
409787,울산광역시,31,울주군,31710,9.36633,0.0,0.0,6.24422,0.0,3.12211,0.0,0.0,0.0,35.47700418377534,129.20994808014336
409788,울산광역시,31,울주군,31710,28.09899,0.0,3.12211,9.36633,15.61055,0.0,0.0,0.0,0.0,35.47789439927032,129.21106349010947
409791,울산광역시,31,울주군,31710,3.76712,0.0,0.94178,0.0,1.88356,0.94178,0.0,0.0,0.0,35.469263127737136,129.1723664715402
410326,울산광역시,31,남구,31140,568.9685,0.0,156.75663,214.81464,145.14503,34.8348,17.4174,0.0,0.0,35.52360078230718,129.3220169390367
410661,울산광역시,31,중구,31110,188.02866,0.0504,58.84729,48.33279,47.54607,22.26669,10.85941,0.12601,0.0,35.550662424875945,129.3202560511983
410662,울산광역시,31,중구,31110,2.685,0.0,1.3425,0.0,0.0,1.3425,0.0,0.0,0.0,35.54798287026383,129.3180060592304
410669,울산광역시,31,남구,31140,45.37048,0.0,1.43851,18.58809,12.30684,6.80846,6.22858,0.0,0.0,35.53644666105048,129.3012745163899
410670,울산광역시,31,울주군,31710,2.55888,0.0,0.62242,0.89908,0.62242,0.27664,0.0,0.13832,0.0,35.382712129512946,129.34612636107647
410672,울산광역시,31,울주군,31710,2.30129,0.0,0.54148,0.67685,0.40611,0.67685,0.0,0.0,0.0,35.38188442173347,129.33950831706684
410673,울산광역시,31,울주군,31710,1.26835,0.0,0.0,1.26835,0.0,0.0,0.0,0.0,0.0,35.37566090722303,129.3317008316966
410678,울산광역시,31,중구,31110,4.92908,0.0,2.11246,2.81662,0.0,0.0,0.0,0.0,0.0,35.557896580166144,129.31816871743368
410679,울산광역시,31,중구,31110,5.6055,0.0,0.0,0.0,5.6055,0.0,0.0,0.0,0.0,35.553402429630985,129.31699191478842
410682,울산광역시,31,울주군,31710,35.37807,0.0,3.01428,11.58116,13.48491,6.02855,1.11052,0.15865,0.0,35.48891603445926,129.27846242645828
410689,울산광역시,31,남구,31140,82.15678,0.0,3.80041,37.16044,21.05336,13.42921,6.71336,0.0,0.0,35.53994392821279,129.31125699093664
