,,,,,일자,20180422,20180422,20180423,20180423,20180424,20180424,20180425,20180425,20180426,20180426,20180427,20180427,20180428,20180428,계,계
가로명,방면,요일,순번(LV2),시작지점,종료지점,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
강북로,하행,목요일,3,학성교북교차로,가구삼거리,-,-,-,-,-,-,-,-,"14,641",0,-,-,-,-,"14,641",0
강북로,하행,목요일,4,가구삼거리,번영교북교차로,-,-,-,-,-,-,-,-,0,906,-,-,-,-,0,906
강북로,하행,목요일,5,번영교북교차로,태화교사거리,-,-,-,-,-,-,-,-,0,755,-,-,-,-,0,755
강북로,하행,금요일,1,명촌교북단사거리,내황삼거리,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
강북로,하행,금요일,2,내황삼거리,학성교북교차로,-,-,-,-,-,-,-,-,-,-,"13,788",0,-,-,"13,788",0
강북로,하행,금요일,3,학성교북교차로,가구삼거리,-,-,-,-,-,-,-,-,-,-,"15,135",0,-,-,"15,135",0
강북로,하행,금요일,4,가구삼거리,번영교북교차로,-,-,-,-,-,-,-,-,-,-,0,931,-,-,0,931
강북로,하행,금요일,5,번영교북교차로,태화교사거리,-,-,-,-,-,-,-,-,-,-,0,772,-,-,0,772
강북로,하행,토요일,1,명촌교북단사거리,내황삼거리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
강북로,하행,토요일,2,내황삼거리,학성교북교차로,-,-,-,-,-,-,-,-,-,-,-,-,"20,371",0,"20,371",0
강북로,하행,토요일,3,학성교북교차로,가구삼거리,-,-,-,-,-,-,-,-,-,-,-,-,"16,753",0,"16,753",0
강북로,하행,토요일,4,가구삼거리,번영교북교차로,-,-,-,-,-,-,-,-,-,-,-,-,0,776,0,776
강북로,하행,토요일,5,번영교북교차로,태화교사거리,-,-,-,-,-,-,-,-,-,-,-,-,0,756,0,756
강북로,계,,,,,"86,701","2,745","87,620","3,117","91,242","3,096","95,579","3,172","92,064","3,172","82,825","3,140","95,414","2,862","631,445","21,304"
개운로,상행,일요일,1,개운삼거리,치용삼거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
개운로,상행,월요일,1,개운삼거리,치용삼거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
개운로,상행,화요일,1,개운삼거리,치용삼거리,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
개운로,상행,수요일,1,개운삼거리,치용삼거리,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
개운로,상행,목요일,1,개운삼거리,치용삼거리,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
개운로,상행,금요일,1,개운삼거리,치용삼거리,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
개운로,상행,토요일,1,개운삼거리,치용삼거리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
개운로,하행,일요일,1,치용삼거리,개운삼거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
개운로,하행,월요일,1,치용삼거리,개운삼거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
개운로,하행,화요일,1,치용삼거리,개운삼거리,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
개운로,하행,수요일,1,치용삼거리,개운삼거리,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
개운로,하행,목요일,1,치용삼거리,개운삼거리,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
개운로,하행,금요일,1,치용삼거리,개운삼거리,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
개운로,하행,토요일,1,치용삼거리,개운삼거리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
개운로,계,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구삼호교,상행,일요일,1,구삼호교남단,다운사거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
구삼호교,상행,월요일,1,구삼호교남단,다운사거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
구삼호교,상행,화요일,1,구삼호교남단,다운사거리,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
구삼호교,상행,수요일,1,구삼호교남단,다운사거리,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
구삼호교,상행,목요일,1,구삼호교남단,다운사거리,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
구삼호교,상행,금요일,1,구삼호교남단,다운사거리,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
구삼호교,상행,토요일,1,구삼호교남단,다운사거리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
구삼호교,하행,일요일,1,다운사거리,구삼호교남단,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
구삼호교,하행,월요일,1,다운사거리,구삼호교남단,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
구삼호교,하행,화요일,1,다운사거리,구삼호교남단,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
구삼호교,하행,수요일,1,다운사거리,구삼호교남단,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
구삼호교,하행,목요일,1,다운사거리,구삼호교남단,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
구삼호교,하행,금요일,1,다운사거리,구삼호교남단,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
구삼호교,하행,토요일,1,다운사거리,구삼호교남단,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
구삼호교,계,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구영로,상행,일요일,1,백천교사거리,호연초등학교앞,"13,641",650,-,-,-,-,-,-,-,-,-,-,-,-,"13,641",650
구영로,상행,월요일,1,백천교사거리,호연초등학교앞,-,-,"14,956",766,-,-,-,-,-,-,-,-,-,-,"14,956",766
구영로,상행,화요일,1,백천교사거리,호연초등학교앞,-,-,-,-,"15,851",763,-,-,-,-,-,-,-,-,"15,851",763
구영로,상행,수요일,1,백천교사거리,호연초등학교앞,-,-,-,-,-,-,"16,776",762,-,-,-,-,-,-,"16,776",762
구영로,상행,목요일,1,백천교사거리,호연초등학교앞,-,-,-,-,-,-,-,-,"15,917",756,-,-,-,-,"15,917",756
구영로,상행,금요일,1,백천교사거리,호연초등학교앞,-,-,-,-,-,-,-,-,-,-,"16,505",744,-,-,"16,505",744
구영로,상행,토요일,1,백천교사거리,호연초등학교앞,-,-,-,-,-,-,-,-,-,-,-,-,"16,921",647,"16,921",647
구영로,하행,일요일,1,호연초등학교앞,백천교사거리,"13,533",748,-,-,-,-,-,-,-,-,-,-,-,-,"13,533",748
구영로,하행,월요일,1,호연초등학교앞,백천교사거리,-,-,"14,261",886,-,-,-,-,-,-,-,-,-,-,"14,261",886
구영로,하행,화요일,1,호연초등학교앞,백천교사거리,-,-,-,-,"14,991",886,-,-,-,-,-,-,-,-,"14,991",886
구영로,하행,수요일,1,호연초등학교앞,백천교사거리,-,-,-,-,-,-,"15,730",824,-,-,-,-,-,-,"15,730",824
구영로,하행,목요일,1,호연초등학교앞,백천교사거리,-,-,-,-,-,-,-,-,"14,824",885,-,-,-,-,"14,824",885
구영로,하행,금요일,1,호연초등학교앞,백천교사거리,-,-,-,-,-,-,-,-,-,-,"15,676",866,-,-,"15,676",866
구영로,하행,토요일,1,호연초등학교앞,백천교사거리,-,-,-,-,-,-,-,-,-,-,-,-,"15,588",739,"15,588",739
구영로,계,,,,,"27,174","1,398","29,217","1,652","30,842","1,649","32,506","1,586","30,741","1,641","32,181","1,610","32,509","1,386","215,170","10,922"
국도14호선,상행,일요일,1,두왕사거리,두왕삼거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,일요일,2,두왕삼거리,개산교,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,일요일,3,개산교,덕정사거리,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,일요일,4,덕정사거리,LG화학앞,0,720,-,-,-,-,-,-,-,-,-,-,-,-,0,720
국도14호선,상행,일요일,5,LG화학앞,남창사거리,0,324,-,-,-,-,-,-,-,-,-,-,-,-,0,324
국도14호선,상행,일요일,6,남창사거리,화철령,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,월요일,1,두왕사거리,두왕삼거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,월요일,2,두왕삼거리,개산교,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,월요일,3,개산교,덕정사거리,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,월요일,4,덕정사거리,LG화학앞,-,-,0,888,-,-,-,-,-,-,-,-,-,-,0,888
국도14호선,상행,월요일,5,LG화학앞,남창사거리,-,-,0,457,-,-,-,-,-,-,-,-,-,-,0,457
국도14호선,상행,월요일,6,남창사거리,화철령,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,화요일,1,두왕사거리,두왕삼거리,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,화요일,2,두왕삼거리,개산교,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,화요일,3,개산교,덕정사거리,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,화요일,4,덕정사거리,LG화학앞,-,-,-,-,0,877,-,-,-,-,-,-,-,-,0,877
국도14호선,상행,화요일,5,LG화학앞,남창사거리,-,-,-,-,0,377,-,-,-,-,-,-,-,-,0,377
국도14호선,상행,화요일,6,남창사거리,화철령,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
국도14호선,상행,수요일,1,두왕사거리,두왕삼거리,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
국도14호선,상행,수요일,2,두왕삼거리,개산교,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
국도14호선,상행,수요일,3,개산교,덕정사거리,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
국도14호선,상행,수요일,4,덕정사거리,LG화학앞,-,-,-,-,-,-,0,895,-,-,-,-,-,-,0,895
국도14호선,상행,수요일,5,LG화학앞,남창사거리,-,-,-,-,-,-,0,383,-,-,-,-,-,-,0,383
국도14호선,상행,수요일,6,남창사거리,화철령,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
국도14호선,상행,목요일,1,두왕사거리,두왕삼거리,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
국도14호선,상행,목요일,2,두왕삼거리,개산교,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
국도14호선,상행,목요일,3,개산교,덕정사거리,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
