,Id,NODE_TYPE,NODE_NAME,STNL_REG,latitude,longitude,Car,Bus
1463,1950012300,101,-,195,35.585497524684,129.3673974510047,0,0
1464,1950012600,101,-,195,35.587522181049216,129.36733951421016,0,0
1465,1950011400,102,-,195,35.577444993164576,129.35710804520963,0,0
1466,1950009500,102,-,195,35.56274130560422,129.3694663573584,0,0
1467,1950009600,101,-,195,35.562784399328244,129.36767454519548,0,0
1468,1950011100,101,-,195,35.57246536853483,129.36368654535318,0,0
1469,1950006200,101,새마을아파트앞,195,35.55002164954079,129.3829609824073,0,0
1470,1950017600,101,-,195,35.62813774421192,129.35150426347124,0,0
1471,1950024900,102,-,195,35.64587833749601,129.35427057619341,0,0
1472,1950024300,101,-,195,35.64224455571802,129.3554780460278,0,0
1473,1950024700,101,-,195,35.64435164909282,129.35737273265144,0,0
1474,1950022800,101,-,195,35.63394196189953,129.34896266983543,0,0
1475,1950018500,101,-,195,35.628770524475925,129.34228717098844,0,0
1476,1950017700,101,-,195,35.628161712866714,129.32948988902228,0,0
1477,1950020900,101,-,195,35.63081439960617,129.33523210812413,0,0
1478,1950020800,101,-,195,35.63074383708951,129.3372967016985,0,0
1479,1950020700,101,-,195,35.630741993616525,129.33949363869078,0,0
1480,1950018800,101,-,195,35.62886546282085,129.3372261700725,0,0
1481,1950022400,103,-,195,35.63288458753468,129.33639038893378,0,0
1482,1950018400,101,-,195,35.628729087236465,129.34141335773006,0,0
1483,1950024000,101,-,195,35.64017299399672,129.34340585814644,0,0
1484,1950023800,101,-,195,35.63925040005343,129.33128401387668,0,0
1485,1950023600,104,-,195,35.63910733770546,129.340215763801,0,0
1486,1950023300,104,-,195,35.63866902519545,129.33889720118069,0,0
1487,1950021800,101,-,195,35.63147655631476,129.35835457696786,0,0
1488,1950024200,102,-,195,35.641452774547616,129.32428154533474,0,0
1489,1950011800,101,-,195,35.580160650085666,129.45224601469,0,0
1490,1950026700,102,-,195,35.66952955670496,129.3735683265546,0,0
1491,1950026600,103,-,195,35.66683477444921,129.37528388931688,0,0
1492,1950026300,102,-,195,35.66169961823153,129.34147388971894,0,0
1493,1950026500,101,-,195,35.66284993091525,129.33878579473557,0,0
1494,1950026400,101,-,195,35.662792149679525,129.3367434828973,0,0
1495,1950022200,104,-,195,35.632319618255316,129.3434956387477,0,0
1496,1950019300,101,-,195,35.629324774789545,129.3460148891094,0,0
1497,1950003401,101,-,195,35.64814858703225,129.34283510768964,0,0
1498,1950003402,101,-,195,35.64853971166298,129.3427555764951,0,0
1499,1950011600,104,금천교,195,35.579219399661326,129.4485472333107,0,0
1500,1950008200,104,동천교,195,35.56074724396776,129.35420245174078,0,0
1501,1950010400,101,-,195,35.56518968155942,129.36758020137398,0,0
1502,1950000701,101,-,195,35.5677714309538,129.36108070145136,0,0
1503,1950012000,104,-,195,35.580674649557146,129.35030507602013,0,0
1504,1950011200,104,병영교,195,35.577177773971364,129.35218223329952,0,0
1505,1950015300,104,구송정교,195,35.60562739981629,129.35355913865416,0,0
1506,1950016100,101,호계교,195,35.62449955672957,129.35396223290306,0,0
1507,1950022600,101,-,195,35.63324996239106,129.34936557722415,0,0
1508,1950002401,101,-,195,35.62328424301403,129.44365776457963,0,0
1509,1950015800,104,정자교,195,35.613711649720514,129.44962513875842,0,0
1510,1950011700,104,금정교,195,35.57990958694417,129.4522087328217,0,0
1511,1950011300,104,연암교,195,35.577235086970745,129.35898298244913,0,0
1512,1950013100,104,-,195,35.58825746262155,129.36448995135092,0,0
1513,1950006300,101,-,195,35.550127181019775,129.355292013478,0,0
1514,1950014000,104,-,195,35.59204349381614,129.3628531078698,0,0
1515,1950003102,104,신촌교,195,35.63173024417133,129.34604517022973,0,0
1516,1950003101,104,신촌교,195,35.632096994142195,129.34583588845013,0,0
1517,1950015200,104,송정교,195,35.60545221256014,129.35335226447788,0,0
1518,1950004101,104,-,195,35.66277968121963,129.33955913895625,0,0
1519,1950018300,101,-,195,35.628668462087006,129.33524895171774,0,0
1520,1950021600,101,-,195,35.631449836735726,129.3389414512553,0,0
1521,1950021700,101,-,195,35.63145452403767,129.33808098264825,0,0
1522,1950022900,101,-,195,35.63606493125157,129.3147135138976,0,0
1523,1950023100,101,-,195,35.63669543112129,129.31396635799945,0,0
1524,1950023200,101,-,195,35.6384230241744,129.3163494512454,0,0
1525,1950023700,101,-,195,35.639247931121815,129.31549951381754,0,0
